거래일자	종목명	거래수량	거래금액	거래세/농특세	정산금액	미수변제	예수금	대출상환금	담보대출상환금	매도담보상환금	신용거래구분(Hide)	세금합계	대출일	매체구분
	거래종류	거래단가	수수료	소득세/주민세	미수발생	연체변제	유가잔고	신용/대출이자	신용이자	매도담보상환이자	적요명(Hide)		상환차금	처리시간
	보통매매  KOSDAQ매수	"27,100.00"					"1,210"				KOSDAQ매수			0:38:08
2014-03-04	쎌바이오텍	20	"543,000"				"11,224,322"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"27,150.00"					"1,230"				KOSDAQ매수			0:38:08
2014-03-04	쎌바이오텍	40	"1,088,000"				"11,224,322"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"27,200.00"					"1,270"				KOSDAQ매수			0:38:08
2014-03-04	쎌바이오텍	50	"1,362,500"				"11,224,322"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"27,250.00"					"1,320"				KOSDAQ매수			0:38:08
2014-03-04	쎌바이오텍	40	"1,092,000"				"11,224,322"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"27,300.00"					"1,360"				KOSDAQ매수			0:38:08
2014-03-04	쎌바이오텍	20	"547,000"		"6,257,430"		"4,966,892"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"27,350.00"	930				"1,380"				KOSDAQ매수			0:38:08
2014-03-04	CJE&M	6	"228,300"				"4,966,892"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"38,050.00"					96				KOSDAQ매수			0:38:08
2014-03-04	CJE&M	4	"152,400"		"380,750"		"4,586,142"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"38,100.00"	50				100				KOSDAQ매수			0:38:08
2014-03-04	엔씨소프트	2	"382,000"				"4,586,142"				보통매매			영웅문S
	보통매매  장내매수	"191,000.00"					11				장내매수			0:38:08
2014-03-04	엔씨소프트	7	"1,340,500"				"4,586,142"				보통매매			영웅문S
	보통매매  장내매수	"191,500.00"					18				장내매수			0:38:08
